 Interview number,0
 phone no 1,0
 phone no 2,0
 List,0
 long-term rental,0
 DF1,0
 DF2,0
 DF3,0
 DF3_cat,0
 DF4,0
 db_name,0
 db_shop_no,0
 db_ID,0
 P0 I am conducting the study on behalf of BNP Paribas Bank Polska BNP Paribas Bank Polska has asked us to carry out a satisfaction survey of their partners to help them better meet their needs,0
" S1 Firstly, could you please tell me your role at the company?",0
 S1bis Could I please speak to a dealership manager or a salesperson? ,0
" S2 Are you involved in vehicle loan, leasing or long-term rental financing? ",0
 K1 To what extent would you recommend BNP Paribas Bank Polska to a colleague or a business contact? ,1
 K1bis Why did you give this rating?,0
 A1How would you score your partnership with BNP Paribas Bank Polska in general?,1
 O1 How much effort did you make to ensure that your last request was proceed by BNP Paribas Bank Polska?,1
" B1a In your opinion, in terms of how quickly BNP Paribas Bank Polska makes financing decisions, what would be the ideal response time from BNP Paribas Bank Polska?",2
 B2 How satisfied are you with how often you receive reporting documents from BNP Paribas Bank Polska?,1
" B2a In your opinion, what would be the most suitable sending frequency?  ",2
 B3 How satisfied are you with how often you receive reporting documents from BNP Paribas Bank Polska?,1
 B4 Would it interest you to receive it?,0
 C1 How satisfied are you in general with the quality of the contact you have had with analysts?,1
" C5 What, in your opinion, should be the average waiting period for a decision regarding a loan / leasing / rental application (consent or refusal)?",2
 D2 What would be the most appropriate contact frequency with the Salon Manager for you? ,2
 EB2 You said that you were not totally satisfied with how often the products trainings conducted by BNP Paribas Bank Polska takes place How often would you prefer the products trainings conducted by BNP Paribas Bank Polska to take place?,2
 EB4 You said that you were not totally satisfied with how often the sales technics trainings given by BNP Paribas Bank Polska takes place How often would you prefer  such trainings should take place? ,2
" H1 Now let’s talk about the communications, documentation and advertising tprovided by BNP Paribas Bank Polska Generally, are you satisfied with the information and advertising materials provided by BNP Paribas Bank Polska ? ",1
" I1 Using a scale from 1 to 10, where 1 means that you have a very poor impression , and 10 means that you have a very good impression  (with the scores in between serving to express your opinion more precisely), how would you rate your overall impression ",1
 J1 Would you be willing to continue working with BNP Paribas Bank Polska in the future?,3
 L1 Do you regularly work with a financial partner other than BNP Paribas Bank Polska?,0
" L2 Apart from BNP Paribas Bank Polska, which credit organisations do you work with?",0
" L3 Apart from BNP Paribas Bank Polska, which organisation do you work with most often?",0
 L4 What are the two main reasons you work with another financial partner other than BNP Paribas Bank Polska?,0
" Q1 Our client BNP Paribas Bank Polska might have some further questions to you, in order to make best use of the results of this study  With your permission - and only then - we would like to pass on your name and contact details together with your answe",0
 Respondent ID,0
 Wave,0
 TELEPHONE,0
 TELEPHONE2,0
 nb_brand,0
 brand1,0
 brand2,0
 db_region,0
 db_categoria,0
" Hello, Sir/Madam I am  from the IPSOS Research Institute BGZ BNP Paribas has asked us to carry out a satisfaction survey of their partners to help them better meet their needs",0
 QBRAND Could you please choose the one you want to talk about your partnership with BGZ BNP Paribas?,0
 S1 FUNCTION,0
 S3 Do you sell?,0
 S3A How are your annual sales (by volume) distributed between new and used vehicles? - New vehicles,0
 S3A How are your annual sales (by volume) distributed between new and used vehicles? - Used vehicles,0
 S4 Do you sell vehicles?,0
 A1A Could you tell me for what reason(s) you are satisfied with your partnership with BGZ BNP Paribas?,1
 A1B Could you tell me for what reason(s) you said you are not completely are satisfied with your partnership with BGZ BNP Paribas?,1
" B1 Still using a scale of 1 to 10, how satisfied are you with BGZ BNP PARIBAS in terms of? - the speed with which they make financing decisions",1
" B1 Still using a scale of 1 to 10, how satisfied are you with BGZ BNP PARIBAS in terms of? - the quality of support that BGZ BNP PARIBAS offers you",1
" B1 Still using a scale of 1 to 10, how satisfied are you with BGZ BNP PARIBAS in terms of? - the speed of payment for a car",1
" B1 Still using a scale of 1 to 10, how satisfied are you with BGZ BNP PARIBAS in terms of? - the overall payment offered by BGZ BNP PARIBAS",1
" C2 Still using a scale of 1 to 10, in general, how satisfied are you with? - the waiting time before reaching an agent",1
" C2 Still using a scale of 1 to 10, in general, how satisfied are you with? - the time taken to reach the right person",1
" C2 Still using a scale of 1 to 10, in general, how satisfied are you with? - the politeness of the sales advisers",1
" C2 Still using a scale of 1 to 10, in general, how satisfied are you with? - the sales advisers’ ability to listen",1
" C2 Still using a scale of 1 to 10, in general, how satisfied are you with? - the clarity of the responses given by the sales advisers",1
" C2 Still using a scale of 1 to 10, in general, how satisfied are you with? - the speed with which information about an application decision is made available (approval or refusal)",1
" C2 Still using a scale of 1 to 10, in general, how satisfied are you with? - sales advisers’ ability to offer solutions for the most complex applications",1
" C3 When contacting someone by telephone, how long would you say is the maximum amount of time that BGZ BNP PARIBAS should make callers wait?",2
" C3 When contacting someone by telephone, how long would you say is the maximum amount of time that BGZ BNP PARIBAS should make callers wait? - other",2
" C4 In terms of the time taken to reach the right person, how long would you say is the maximum amount of time that BGZ BNP PARIBAS should make callers wait?",2
" D1 Now let’s talk about the quality of contact you have in the field with the BGZ BNP PARIBAS Zone Manager who looks after your account For each of the criteria that I am going to read out to you regarding your relationship with the Zone Manager, could you tell me how satisfied you are? - quality of the relationship with the Zone Manager, in general",1
" D1 Now let’s talk about the quality of contact you have in the field with the BGZ BNP PARIBAS Zone Manager who looks after your account For each of the criteria that I am going to read out to you regarding your relationship with the Zone Manager, could you tell me how satisfied you are? - ease of contacting the Zone Manager",1
" D1 Now let’s talk about the quality of contact you have in the field with the BGZ BNP PARIBAS Zone Manager who looks after your account For each of the criteria that I am going to read out to you regarding your relationship with the Zone Manager, could you tell me how satisfied you are? - frequency of contact",1
